URL,Thông tin khác,Bộ xử lý,Đồ họa và Âm thanh,Màn hình,Kích thước & khối lượng,"Bộ nhớ RAM, Ổ cứng",Cổng kết nối & tính năng mở rộng
https://www.thegioididong.com/laptop/asus-vivobook-go-15-e1504fa-r5-nj776w?utm_flashsale=1,"{'Thông tin Pin:': ['3-cell, 42Wh'], 'Công suất bộ sạc:': ['45 W'], 'Hệ điều hành:': ['Windows 11 Home SL'], 'Thời điểm ra mắt:': ['2023']}","{'Công nghệ CPU:': ['AMD Ryzen 5 - 7520U'], 'Số nhân:': ['4'], 'Số luồng:': ['8'], 'Tốc độ CPU:': ['2.8GHz'], 'Tốc độ tối đa:': ['Turbo Boost 4.3 GHz'], 'Bộ nhớ đệm:': ['4 MB']}","{'Card màn hình:': ['Card tích hợp - AMD Radeon Graphics'], 'Công nghệ âm thanh:': ['SonicMaster audio']}","{'Màn hình:': ['15.6""'], 'Độ phân giải:': ['Full HD (1920 x 1080)'], 'Tần số quét:': ['60Hz'], 'Độ phủ màu:': ['45% NTSC'], 'Công nghệ màn hình:': ['Tấm nền TN', 'Chống chói Anti Glare', '250 nits']}","{'Kích thước:': ['Dài 360.3 mm - Rộng 232.5 mm - Dày 17.9 mm'], 'Khối lượng tịnh:': ['1.63 kg'], 'Chất liệu:': ['Vỏ nhựa']}","{'RAM:': ['16 GB'], 'Loại RAM:': ['LPDDR5 (Onboard)'], 'Tốc độ Bus RAM:': ['5500 MHz'], 'Hỗ trợ RAM tối đa:': ['Không hỗ trợ nâng cấp'], 'Ổ cứng:': ['512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)']}","{'Cổng giao tiếp:': ['USB Type-C', '1 x USB 2.0', 'Jack tai nghe 3.5 mm', '1 x USB 3.2', 'HDMI'], 'Kết nối không dây:': ['Wi-Fi 6E (802.11ax)', 'Bluetooth 5.3'], 'Webcam:': ['HD webcam'], 'Tính năng khác:': ['Độ bền chuẩn quân đội MIL STD 810H', 'Bản lề mở 180 độ', 'Bảo mật vân tay', 'Công tắc khóa camera'], 'Đèn bàn phím:': ['Không có đèn']}"
https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5-n5i5052w1,"{'Thông tin Pin:': ['3-cell, 41Wh'], 'Công suất bộ sạc:': ['65 W'], 'Hệ điều hành:': ['Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn'], 'Thời điểm ra mắt:': ['2023']}","{'Công nghệ CPU:': ['Intel Core i5 Alder Lake - 1235U'], 'Số nhân:': ['10'], 'Số luồng:': ['12'], 'Tốc độ CPU:': ['1.3GHz'], 'Tốc độ tối đa:': ['Turbo Boost 4.4 GHz'], 'Bộ nhớ đệm:': ['12 MB']}","{'Card màn hình:': ['Card tích hợp - Intel Iris Xe Graphics'], 'Công nghệ âm thanh:': ['Realtek Audio']}","{'Màn hình:': ['15.6""'], 'Độ phân giải:': ['Full HD (1920 x 1080)'], 'Tần số quét:': ['120Hz'], 'Độ phủ màu:': ['45% NTSC'], 'Công nghệ màn hình:': ['Chống chói Anti Glare', 'LED Backlit', '250 nits', 'WVA']}","{'Kích thước:': ['Dài 358.5 mm - Rộng 235.56 mm - Dày 16.96 mm'], 'Khối lượng tịnh:': ['1.66 kg'], 'Chất liệu:': ['Vỏ nhựa']}","{'RAM:': ['16 GB'], 'Loại RAM:': ['DDR4 2 khe (1 khe 8 GB + 1 khe 8 GB)'], 'Tốc độ Bus RAM:': ['2666 MHz'], 'Hỗ trợ RAM tối đa:': ['Không hỗ trợ nâng cấp'], 'Ổ cứng:': ['512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB (2280) / 1 TB (2230))', 'Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 2 TB)']}","{'Cổng giao tiếp:': ['Jack tai nghe 3.5 mm', '1 x USB 2.0', '2 x USB 3.2', 'HDMI'], 'Kết nối không dây:': ['Bluetooth 5.0', 'Wi-Fi 802.11 a/b/g/n/ac'], 'Khe đọc thẻ nhớ:': ['SD'], 'Webcam:': ['HD webcam'], 'Đèn bàn phím:': ['Không có đèn']}"
https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15iah8-i5-83er00evn?utm_flashsale=1,"{'Thông tin Pin:': ['47 Wh'], 'Công suất bộ sạc:': ['65 W'], 'Hệ điều hành:': ['Windows 11 Home SL'], 'Thời điểm ra mắt:': ['2023']}","{'Công nghệ CPU:': ['Intel Core i5 Alder Lake - 12450H'], 'Số nhân:': ['8'], 'Số luồng:': ['12'], 'Tốc độ CPU:': ['2GHz'], 'Tốc độ tối đa:': ['Turbo Boost 4.4 GHz'], 'Bộ nhớ đệm:': ['12 MB']}","{'Card màn hình:': ['Card tích hợp - Intel UHD Graphics'], 'Công nghệ âm thanh:': ['Dolby Audio']}","{'Màn hình:': ['15.6""'], 'Độ phân giải:': ['Full HD (1920 x 1080)'], 'Tần số quét:': ['60Hz'], 'Công nghệ màn hình:': ['Low Blue Light', 'Tấm nền IPS', 'Chống chói Anti Glare', 'Độ sáng 300 nits']}","{'Kích thước:': ['Dài 359.3 mm - Rộng 235 mm - Dày 17.9 mm'], 'Khối lượng tịnh:': ['1.62 kg'], 'Chất liệu:': ['Vỏ nhựa']}","{'RAM:': ['16 GB'], 'Loại RAM:': ['LPDDR5 (Onboard)'], 'Tốc độ Bus RAM:': ['4800 MHz'], 'Hỗ trợ RAM tối đa:': ['Không hỗ trợ nâng cấp'], 'Ổ cứng:': ['512 GB SSD NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)']}","{'Cổng giao tiếp:': ['Jack tai nghe 3.5 mm', '2 x USB 3.2', 'HDMI', '1x USB-C 3.2 (hỗ trợ truyền dữ liệu, Power Delivery và DisplayPort 1.2)'], 'Kết nối không dây:': ['Wi-Fi 6 (802.11ax)', 'Bluetooth 5.1'], 'Khe đọc thẻ nhớ:': ['SD'], 'Webcam:': ['Full HD Webcam'], 'Tính năng khác:': ['TPM 2.0', 'Độ bền chuẩn quân đội MIL STD 810H', 'Bản lề mở 180 độ', 'Bảo mật vân tay', 'Công tắc khóa camera'], 'Đèn bàn phím:': ['Không có đèn']}"
https://www.thegioididong.com/laptop/acer-aspire-a315-44p-r9w8-r7-nxksjsv002,"{'Thông tin Pin:': ['3-cell, 50Wh'], 'Công suất bộ sạc:': ['65 W'], 'Hệ điều hành:': ['Windows 11 Home SL'], 'Thời điểm ra mắt:': ['2023']}","{'Công nghệ CPU:': ['AMD Ryzen 7 - 5700U'], 'Số nhân:': ['8'], 'Số luồng:': ['16'], 'Tốc độ CPU:': ['1.8GHz'], 'Tốc độ tối đa:': ['Turbo Boost 4.3 GHz'], 'Bộ nhớ đệm:': ['8 MB']}","{'Card màn hình:': ['Card tích hợp - AMD Radeon Graphics'], 'Công nghệ âm thanh:': ['Acer Purified Voice']}","{'Màn hình:': ['15.6""'], 'Độ phân giải:': ['Full HD (1920 x 1080)'], 'Tần số quét:': ['60Hz'], 'Độ phủ màu:': ['45% NTSC'], 'Công nghệ màn hình:': ['Tấm nền IPS', 'Acer ComfyView']}","{'Kích thước:': ['Dài 362.9 mm - Rộng 241.26 mm - Dày 19.9 mm'], 'Khối lượng tịnh:': ['1.7 kg'], 'Chất liệu:': ['Vỏ nhựa']}","{'RAM:': ['8 GB'], 'Loại RAM:': ['DDR4 2 khe (1 khe 8 GB + 1 khe rời)'], 'Tốc độ Bus RAM:': ['3200 MHz'], 'Hỗ trợ RAM tối đa:': ['64 GB'], 'Ổ cứng:': ['512 GB SSD NVMe PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)', 'Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4 mở rộng (nâng cấp tối đa 2 TB)']}","{'Cổng giao tiếp:': ['LAN (RJ45)', 'Jack tai nghe 3.5 mm', '3 x USB 3.2', 'HDMI', '1 x USB Type-C (hỗ trợ USB 3.2, DisplayPort)'], 'Kết nối không dây:': ['Wi-Fi 6 (802.11ax)', 'Bluetooth 5.1'], 'Webcam:': ['HD webcam'], 'Đèn bàn phím:': ['Không có đèn']}"
https://www.thegioididong.com/laptop/hp-15-fd0234tu-i5-9q969pa,"{'Thông tin Pin:': ['3-cell, 41Wh'], 'Công suất bộ sạc:': ['45 W'], 'Hệ điều hành:': ['Windows 11 Home SL'], 'Thời điểm ra mắt:': ['2023']}","{'Công nghệ CPU:': ['Intel Core i5 Raptor Lake - 1334U'], 'Số nhân:': ['10'], 'Số luồng:': ['12'], 'Tốc độ CPU:': ['1.3GHz'], 'Tốc độ tối đa:': ['Turbo Boost 4.6 GHz'], 'Bộ nhớ đệm:': ['12 MB']}","{'Card màn hình:': ['Card tích hợp - Intel Iris Xe Graphics'], 'Công nghệ âm thanh:': ['Realtek High Definition Audio']}","{'Màn hình:': ['15.6""'], 'Độ phân giải:': ['Full HD (1920 x 1080)'], 'Tần số quét:': ['60Hz'], 'Độ phủ màu:': ['62.5% sRGB'], 'Công nghệ màn hình:': ['Chống chói Anti Glare', '250 nits']}","{'Kích thước:': ['Dài 359.8 mm - Rộng 236 mm - Dày 18.6 mm'], 'Khối lượng tịnh:': ['1.59 kg'], 'Chất liệu:': ['Vỏ nhựa']}","{'RAM:': ['16 GB'], 'Loại RAM:': ['DDR4 2 khe (1 khe 8 GB + 1 khe 8 GB)'], 'Tốc độ Bus RAM:': ['3200 MHz'], 'Hỗ trợ RAM tối đa:': ['32 GB'], 'Ổ cứng:': ['512 GB SSD NVMe PCIe']}","{'Cổng giao tiếp:': ['USB Type-C', 'Jack tai nghe 3.5 mm', '2 x USB 3.2', 'HDMI'], 'Kết nối không dây:': ['Wi-Fi 6 (802.11ax)', 'Bluetooth 5.3'], 'Webcam:': ['HD webcam'], 'Tính năng khác:': ['Công tắc khóa camera'], 'Đèn bàn phím:': ['Không có đèn']}"
https://www.thegioididong.com/laptop/hp-15-fc0085au-r5-a6vv8pa,"{'Thông tin Pin:': ['3-cell, 41Wh'], 'Công suất bộ sạc:': ['45 W'], 'Hệ điều hành:': ['Windows 11 Home SL'], 'Thời điểm ra mắt:': ['2023']}","{'Công nghệ CPU:': ['AMD Ryzen 5 - 7430U'], 'Số nhân:': ['6'], 'Số luồng:': ['12'], 'Tốc độ CPU:': ['2.30 GHz'], 'Tốc độ tối đa:': ['Turbo Boost 4.3 GHz'], 'Bộ nhớ đệm:': ['16 MB']}","{'Card màn hình:': ['Card tích hợp - AMD Radeon Graphics'], 'Công nghệ âm thanh:': ['Loa kép (2 kênh)']}","{'Màn hình:': ['15.6""'], 'Độ phân giải:': ['Full HD (1920 x 1080)'], 'Tần số quét:': ['60Hz'], 'Độ phủ màu:': ['45% NTSC'], 'Công nghệ màn hình:': ['Chống chói Anti Glare', '250 nits']}","{'Kích thước:': ['Dài 359.8 mm - Rộng 236 mm - Dày 18.6 mm'], 'Khối lượng tịnh:': ['1.59 kg'], 'Chất liệu:': ['Vỏ nhựa']}","{'RAM:': ['16 GB'], 'Loại RAM:': ['DDR4 2 khe (1 khe 8 GB + 1 khe 8 GB)'], 'Tốc độ Bus RAM:': ['3200 MHz'], 'Hỗ trợ RAM tối đa:': ['16 GB'], 'Ổ cứng:': ['512 GB SSD NVMe PCIe']}","{'Cổng giao tiếp:': ['HDMI', '2 x USB Type-A', '1 x USB Type-C (chỉ hỗ trợ truyền dữ liệu)', '1 x Headphone/microphone combo'], 'Kết nối không dây:': ['Wi-Fi 6 (802.11ax)', 'Bluetooth 5.3'], 'Webcam:': ['HD webcam'], 'Tính năng khác:': ['Công tắc khóa camera'], 'Đèn bàn phím:': ['Không có đèn']}"
https://www.thegioididong.com/laptop/asus-vivobook-15-x1504za-i3-nj102w?utm_flashsale=1,"{'Thông tin Pin:': ['3-cell, 42Wh'], 'Công suất bộ sạc:': ['45 W'], 'Hệ điều hành:': ['Windows 11 Home SL'], 'Thời điểm ra mắt:': ['2023']}","{'Công nghệ CPU:': ['Intel Core i3 Alder Lake - 1215U'], 'Số nhân:': ['6'], 'Số luồng:': ['8'], 'Tốc độ CPU:': ['1.2GHz'], 'Tốc độ tối đa:': ['Turbo Boost 4.4 GHz'], 'Bộ nhớ đệm:': ['10 MB']}","{'Card màn hình:': ['Card tích hợp - Intel UHD Graphics'], 'Công nghệ âm thanh:': ['SonicMaster audio']}","{'Màn hình:': ['15.6""'], 'Độ phân giải:': ['Full HD (1920 x 1080)'], 'Tần số quét:': ['60Hz'], 'Độ phủ màu:': ['45% NTSC'], 'Công nghệ màn hình:': ['Chống chói Anti Glare', 'LED Backlit']}","{'Kích thước:': ['Dài 359.7 mm - Rộng 232.5 mm - Dày 17.9 mm'], 'Khối lượng tịnh:': ['1.7 kg'], 'Chất liệu:': ['Vỏ nhựa']}","{'RAM:': ['8 GB'], 'Loại RAM:': ['DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống)'], 'Tốc độ Bus RAM:': ['3200 MHz'], 'Hỗ trợ RAM tối đa:': ['16 GB'], 'Ổ cứng:': ['512 GB SSD NVMe PCIe']}","{'Cổng giao tiếp:': ['USB Type-C', '1 x USB 2.0', 'Jack tai nghe 3.5 mm', '2 x USB 3.2', 'HDMI'], 'Kết nối không dây:': ['Wi-Fi 6E (802.11ax)', 'Bluetooth 5.3'], 'Webcam:': ['HD webcam'], 'Tính năng khác:': ['Độ bền chuẩn quân đội MIL STD 810H', 'Bản lề mở 180 độ', 'Bảo mật vân tay', 'Công tắc khóa camera'], 'Đèn bàn phím:': ['Không có đèn']}"
https://www.thegioididong.com/laptop/apple-macbook-air-2020-mgn63saa,"{'Thông tin Pin:': ['Lên đến 18 giờ'], 'Hệ điều hành:': ['macOS'], 'Thời điểm ra mắt:': ['2020']}","{'Công nghệ CPU:': ['Apple M1'], 'Số nhân:': ['8'], 'Số luồng:': ['Hãng không công bố'], 'Tốc độ CPU:': ['Hãng không công bố'], 'Tốc độ tối đa:': ['Hãng không công bố'], 'Bộ nhớ đệm:': ['Hãng không công bố']}","{'Card màn hình:': ['Card tích hợp - 7 nhân GPU'], 'Công nghệ âm thanh:': ['3 microphones', 'Headphones', 'Loa kép (2 kênh)']}","{'Màn hình:': ['13.3""'], 'Độ phân giải:': ['Retina (2560 x 1600)'], 'Tần số quét:': ['Hãng không công bố'], 'Công nghệ màn hình:': ['Tấm nền IPS', 'LED Backlit', '400 nits', 'True Tone Technology']}","{'Kích thước:': ['Dài 304.1 mm - Rộng 212.4 mm - Dày 4.1 mm đến 16.1 mm'], 'Khối lượng tịnh:': ['1.29 kg'], 'Chất liệu:': ['Vỏ kim loại nguyên khối']}","{'RAM:': ['8 GB'], 'Loại RAM:': ['Hãng không công bố'], 'Tốc độ Bus RAM:': ['Hãng không công bố'], 'Hỗ trợ RAM tối đa:': ['Không hỗ trợ nâng cấp'], 'Ổ cứng:': ['256 GB SSD']}","{'Cổng giao tiếp:': ['Jack tai nghe 3.5 mm', '2 x Thunderbolt 3 (USB-C)'], 'Kết nối không dây:': ['Bluetooth 5.0', 'Wi-Fi 6 (802.11ax)'], 'Webcam:': ['720p FaceTime Camera'], 'Tính năng khác:': ['Bảo mật vân tay'], 'Đèn bàn phím:': ['Đơn sắc - Màu trắng']}"
https://www.thegioididong.com/laptop/lenovo-ideapad-1-15alc7-r7-82r400c1vn,"{'Thông tin Pin:': ['42 Wh'], 'Công suất bộ sạc:': ['65 W'], 'Hệ điều hành:': ['Windows 11 Home SL'], 'Thời điểm ra mắt:': ['2023']}","{'Công nghệ CPU:': ['AMD Ryzen 7 - 5700U'], 'Số nhân:': ['8'], 'Số luồng:': ['16'], 'Tốc độ CPU:': ['1.8GHz'], 'Tốc độ tối đa:': ['Turbo Boost 4.3 GHz'], 'Bộ nhớ đệm:': ['8 MB']}","{'Card màn hình:': ['Card tích hợp - AMD Radeon Graphics'], 'Công nghệ âm thanh:': ['Dolby Audio']}","{'Màn hình:': ['15.6""'], 'Độ phân giải:': ['Full HD (1920 x 1080)'], 'Tần số quét:': ['60Hz'], 'Công nghệ màn hình:': ['Tấm nền IPS', 'Chống chói Anti Glare', '250 nits']}","{'Kích thước:': ['Dài 360.2 mm - Rộng 236 mm - Dày 17.9 mm'], 'Khối lượng tịnh:': ['1.61 kg'], 'Chất liệu:': ['Vỏ nhựa']}","{'RAM:': ['16 GB'], 'Loại RAM:': ['DDR4 2 khe (8 GB onboard + 1 khe 8 GB)'], 'Tốc độ Bus RAM:': ['3200 MHz'], 'Hỗ trợ RAM tối đa:': ['16 GB'], 'Ổ cứng:': ['512 GB SSD NVMe PCIe Gen 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2280) / 512 GB (2242))']}","{'Cổng giao tiếp:': ['Jack tai nghe 3.5 mm', '1 x USB 2.0', '1 x USB 3.2', 'HDMI', '1 x USB Type-C (chỉ hỗ trợ truyền dữ liệu)'], 'Kết nối không dây:': ['Bluetooth 5.0', 'Wi-Fi 802.11 a/b/g/n/ac'], 'Khe đọc thẻ nhớ:': ['SD'], 'Webcam:': ['HD webcam'], 'Tính năng khác:': ['TPM 2.0', 'Bản lề mở 180 độ', 'Công tắc khóa camera'], 'Đèn bàn phím:': ['Không có đèn']}"
https://www.thegioididong.com/laptop/acer-aspire-lite-14-51m-59bn-i5-nxktxsv001,"{'Thông tin Pin:': ['3-cell Li-ion, 58 Wh'], 'Công suất bộ sạc:': ['65 W'], 'Hệ điều hành:': ['Windows 11 Home SL'], 'Thời điểm ra mắt:': ['2024']}","{'Công nghệ CPU:': ['Intel Core i5 Alder Lake - 1235U'], 'Số nhân:': ['10'], 'Số luồng:': ['12'], 'Tốc độ CPU:': ['1.3GHz'], 'Tốc độ tối đa:': ['Turbo Boost 4.4 GHz'], 'Bộ nhớ đệm:': ['12 MB']}","{'Card màn hình:': ['Card tích hợp - Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi)'], 'Công nghệ âm thanh:': ['Stereo speakers']}","{'Màn hình:': ['14""'], 'Độ phân giải:': ['Full HD+ (1920 x 1200)'], 'Tần số quét:': ['60Hz'], 'Độ phủ màu:': ['45% NTSC'], 'Công nghệ màn hình:': ['TFT', 'LED Backlit', 'Acer ComfyView', 'Độ sáng 300 nits']}","{'Kích thước:': ['Dài 313.3 mm - Rộng 218 mm - Dày 16.9 mm'], 'Khối lượng tịnh:': ['1.5 kg'], 'Chất liệu:': ['Vỏ nhựa - nắp lưng bằng kim loại']}","{'RAM:': ['16 GB'], 'Loại RAM:': ['DDR5 2 khe (1 khe 16 GB + 1 khe rời)'], 'Tốc độ Bus RAM:': ['4800 MHz'], 'Hỗ trợ RAM tối đa:': ['64 GB'], 'Ổ cứng:': ['512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)']}","{'Cổng giao tiếp:': ['Jack tai nghe 3.5 mm', 'HDMI', '3 x USB 3.1', '1 x USB Type-C (hỗ trợ USB, Power Delivery và DisplayPort)'], 'Kết nối không dây:': ['Wi-Fi 6 (802.11ax)', 'Bluetooth 5.1'], 'Khe đọc thẻ nhớ:': ['Micro SD'], 'Webcam:': ['Full HD Webcam'], 'Đèn bàn phím:': ['Không có đèn']}"
