Name,Price,Warranty,Status,CPU,RAM,Ổ cứng,Card VGA,Mux Switch,Màn hình,Webcam,Cổng kết nối,Trọng lượng,Pin,Hệ điều hành,Camera,MUX Swìtch,Kết nối,Cổng,Cổng Kết Nối,Cổng kết nôi,MUX Switch,Cổng giao tiếp,Mux switch,Cổng kết Nối,VGA,GPU,Mux,Kết Nối,MUXSwìtch,MUX,Mux swtich,áŧ cáŧĐng,Cáŧng Kášŋt Náŧi,Tráŧng lÆ°áŧĢng,Háŧ Äiáŧu hành,·ªî c·ª©ng,C·ªïng k·∫øt n·ªëi,Tr·ªçng l∆∞·ª£ng,H·ªá ƒëi·ªÅu hành,Cáŧng kášŋt náŧi,Ổ Cứng,Max-Q,MUXSwitch,,Đi Kèm
Lenovo LOQ 2024 15IAX9 83GS001SVN,17.990.000đ,24,Còn hàng,"Intel® Core™ i5-12450HX (2.00GHz up to 4.40GHz, 12MB Cache)",12GB DDR5 4800MHz (up to 32GB),512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,NVIDIA® GeForce RTX™ 2050 4GB GDDR6,Có,"15.6inch FHD (1920x1080) IPS 300nits Anti-glare, 100%sRGB, 144Hz",HD Webcam,"1 x USB 3.2 Gen 12 x USB 3.2 Gen 21 x USB-C® 3.2 Gen 2 (support data transfer, Power Delivery 140W and DisplayPort™ 1.4)1 x HDMI®, up to 8K/60Hz1 x Ethernet (RJ-45)1 x Headphone / microphone combo jack (3.5mm)1 x Power connector",~2.4 kg,"4-Cell, 60Wh",Windows 11 bản quyền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo LOQ 2024 15IAX9 83GS001SVN,17.990.000đ,24,Còn hàng,"Intel® Core™ i5-12450HX (2.00GHz up to 4.40GHz, 12MB Cache)",12GB DDR5 4800MHz (up to 32GB),512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,NVIDIA® GeForce RTX™ 2050 4GB GDDR6,Có,"15.6inch FHD (1920x1080) IPS 300nits Anti-glare, 100%sRGB, 144Hz",HD Webcam,"1 x USB 3.2 Gen 12 x USB 3.2 Gen 21 x USB-C® 3.2 Gen 2 (support data transfer, Power Delivery 140W and DisplayPort™ 1.4)1 x HDMI®, up to 8K/60Hz1 x Ethernet (RJ-45)1 x Headphone / microphone combo jack (3.5mm)1 x Power connector",~2.4 kg,"4-Cell, 60Wh",Windows 11 bản quyền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Envy x360 2-in-1 14-fa0023dx 2024,17.990.000đ,12,Còn hàng,"Ryzen 7 8840HS ( 8 Cores, 16 Threads, Turbo 3.3 GHz up to 5.1 GHz, Cache L3 16MB)",16GB LPDDR5 6400MHz,1TB PCIe® NVMe™ M.2 SSD,AMD Radeon™ Graphics,,"14"" diagonal, FHD+ (1920 x 1200), multitouch-enabled, IPS, edge-to-edge glass, micro-edge 300 nits",,1x Headphone/microphone combo2x USB Type-A1x HDMI 2.12x USB Type-C®,1.39kg,"3 Cells, 59Wh",Windows 11 bản quyền,FHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Envy x360 2-in-1 14-fa0023dx 2024,17.990.000đ,12,Còn hàng,"Ryzen 7 8840HS ( 8 Cores, 16 Threads, Turbo 3.3 GHz up to 5.1 GHz, Cache L3 16MB)",16GB LPDDR5 6400MHz,1TB PCIe® NVMe™ M.2 SSD,AMD Radeon™ Graphics,,"14"" diagonal, FHD+ (1920 x 1200), multitouch-enabled, IPS, edge-to-edge glass, micro-edge 300 nits",,1x Headphone/microphone combo2x USB Type-A1x HDMI 2.12x USB Type-C®,1.39kg,"3 Cells, 59Wh",Windows 11 bản quyền,FHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo LOQ 2024 15ARP9 83JC007HVN,17.990.000đ,24,Còn hàng,"AMD Ryzen™ 5-7235HS (3.20GHz up to 4.20GHz, 8MB Cache)","12GB SO-DIMM DDR5-4800MHz (2 slots, up to 32GB)",512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,NVIDIA® GeForce RTX™ 3050 6GB GDDR6,Có,"15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",HD 720p with E-shutter,"3x USB-A (USB 5Gbps/USB 3.2 Gen 1)1x USB-C® (USB 10Gbps/USB 3.2 Gen 2), with Lenovo® PD 140W and DisplayPort™ 1.41x HDMI® 2.1, up to 8K/60Hz1x Headphone/microphone combo jack (3.5mm)1x Ethernet (RJ-45)1x Power connector",~2.4 kg,"4-Cell, 60Wh",Windows 11 bản quyền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo LOQ 2024 15ARP9 83JC007HVN,17.990.000đ,24,Còn hàng,"AMD Ryzen™ 5-7235HS (3.20GHz up to 4.20GHz, 8MB Cache)","12GB SO-DIMM DDR5-4800MHz (2 slots, up to 32GB)",512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,NVIDIA® GeForce RTX™ 3050 6GB GDDR6,Có,"15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",HD 720p with E-shutter,"3x USB-A (USB 5Gbps/USB 3.2 Gen 1)1x USB-C® (USB 10Gbps/USB 3.2 Gen 2), with Lenovo® PD 140W and DisplayPort™ 1.41x HDMI® 2.1, up to 8K/60Hz1x Headphone/microphone combo jack (3.5mm)1x Ethernet (RJ-45)1x Power connector",~2.4 kg,"4-Cell, 60Wh",Windows 11 bản quyền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Inspiron 7445 2-in-1 2024,17.990.000đ,12,Còn hàng,AMD Ryzen™ 5 8640HS 6-core/12-thread Processor with Radeon™ Graphics,"8GB, 1x8GB, DDR5, 5600MHz",512GB M.2 PCIe NVMe Solid State Drive,AMD Radeon™ Graphics,,14.0-inch 16:10 FHD+ (1920 x 1200) Touch 250nits WVA Display with ComfortView Support,"30 fps FHD camera, dual-array microphones",1x HDMI 1.42x USB Type-C ( Power Delivery và DisplayPort)2x USB Type-A1x SD Card Reader1x Headphone & Microphone Audio Jack.,1.7 kg,"4 Cell, 54Wh",Window 11 bản quyền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Inspiron 7445 2-in-1 2024,17.990.000đ,12,Còn hàng,AMD Ryzen™ 5 8640HS 6-core/12-thread Processor with Radeon™ Graphics,"8GB, 1x8GB, DDR5, 5600MHz",512GB M.2 PCIe NVMe Solid State Drive,AMD Radeon™ Graphics,,14.0-inch 16:10 FHD+ (1920 x 1200) Touch 250nits WVA Display with ComfortView Support,"30 fps FHD camera, dual-array microphones",1x HDMI 1.42x USB Type-C ( Power Delivery và DisplayPort)2x USB Type-A1x SD Card Reader1x Headphone & Microphone Audio Jack.,1.7 kg,"4 Cell, 54Wh",Window 11 bản quyền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Legion 5 2024 16IRX9 83DG004YVN,17.990.000đ,24,Còn hàng,"14th Generation Intel® Core™ i7-14650HX, 16C (8P + 8E) / 24T, P-core up to 5.2GHz, E-core up to 3.7GHz, 30MB Cache",16 GB DDR5,512GB PCIe NVMe M.2 SSD Gen 4,NVIDIA Geforce RTX 4060 8GB GDDR6,,"16"" WQXGA (2560×1600) IPS 500nits Anti-glare, 100% sRGB, 165Hz, DisplayHDR™ 400, Dolby® Vision™, G-SYNC®, Low Blue Light",HD Webcam,"3x USB 3.2 Gen 11x USB 3.2 Gen 1 (Always On)1x USB-C® 3.2 Gen 2 (support data transfer and DisplayPort™ 1.4)1x USB-C® 3.2 Gen 2 (support data transfer, Power Delivery 140W and DisplayPort™ 1.4)1x HDMI®, up to 8K/60Hz1x Ethernet (RJ-45)1x Headphone / microphone combo jack (3.5mm)1x Power connector",2.3 kg,"80whr, Super Rapid Charge",Windows bản quyền,,Có,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Legion 5 2024 16IRX9 83DG004YVN,17.990.000đ,24,Còn hàng,"14th Generation Intel® Core™ i7-14650HX, 16C (8P + 8E) / 24T, P-core up to 5.2GHz, E-core up to 3.7GHz, 30MB Cache",16 GB DDR5,512GB PCIe NVMe M.2 SSD Gen 4,NVIDIA Geforce RTX 4060 8GB GDDR6,,"16"" WQXGA (2560×1600) IPS 500nits Anti-glare, 100% sRGB, 165Hz, DisplayHDR™ 400, Dolby® Vision™, G-SYNC®, Low Blue Light",HD Webcam,"3x USB 3.2 Gen 11x USB 3.2 Gen 1 (Always On)1x USB-C® 3.2 Gen 2 (support data transfer and DisplayPort™ 1.4)1x USB-C® 3.2 Gen 2 (support data transfer, Power Delivery 140W and DisplayPort™ 1.4)1x HDMI®, up to 8K/60Hz1x Ethernet (RJ-45)1x Headphone / microphone combo jack (3.5mm)1x Power connector",2.3 kg,"80whr, Super Rapid Charge",Windows bản quyền,,Có,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
